keyword,volume,kd,cpc_low,cpc_high,funnel,intent,trend,peak_months,ai_overview_prone,flags
loud washing machine,10,43,0.0,0.0,MOFU,commercial,GROWING,Aug/Oct/Dec/Jan/Apr/Jun,False,
draining washing machine,10,44,0.0,0.0,MOFU,commercial,GROWING,Nov/Dec/Jan/Jun,False,
draining washer,10,44,0.0,0.0,MOFU,commercial,GROWING,Nov/Dec/Jan/Jun,False,
washing machine spinner not working,10,71,619.93,1903.57,MOFU,commercial,STABLE,Jul/Aug/Sep/Oct/Nov/Dec/Jan/Feb/Mar/Apr/May/Jun,False,
spin is not working on washing machine,10,71,619.93,1903.57,MOFU,commercial,STABLE,Jul/Aug/Sep/Oct/Nov/Dec/Jan/Feb/Mar/Apr/May/Jun,True,voice
washer spin not working,10,71,619.93,1903.57,MOFU,commercial,STABLE,Jul/Aug/Sep/Oct/Nov/Dec/Jan/Feb/Mar/Apr/May/Jun,False,
automatic washing machine not draining water,10,26,0.0,0.0,MOFU,commercial,SEASONAL,Oct/Nov/Dec/Jun,False,
samsung washing machine spin not working,10,26,0.0,0.0,MOFU,commercial,SEASONAL,Aug/Sep/Oct/Jan/Feb/Mar/Apr/Jun,False,
samsung washer spin not working,10,26,0.0,0.0,MOFU,commercial,SEASONAL,Aug/Sep/Oct/Jan/Feb/Mar/Apr/Jun,False,
washing machine drum hard to turn by hand,10,26,0.0,0.0,MOFU,commercial,SEASONAL,Jul/Dec/Jan/Jun,False,
lg washing machine leaking from bottom,10,26,0.0,0.0,MOFU,commercial,SEASONAL,Jul/Aug/Sep/Oct/Jan/Feb/Mar/Apr/May/Jun,False,
lg washer leak from bottom,10,26,0.0,0.0,MOFU,commercial,SEASONAL,Jul/Aug/Sep/Oct/Jan/Feb/Mar/Apr/May/Jun,False,
lg washing machine leaks from bottom,10,26,0.0,0.0,MOFU,commercial,SEASONAL,Jul/Aug/Sep/Oct/Jan/Feb/Mar/Apr/May/Jun,False,
really loud washing machine,10,26,0.0,0.0,MOFU,commercial,SEASONAL,Oct/May/Jun,False,
very loud washing machine,10,26,0.0,0.0,MOFU,commercial,SEASONAL,Oct/May/Jun,False,
washer very loud,10,26,0.0,0.0,MOFU,commercial,SEASONAL,Oct/May/Jun,False,
samsung front load washing machine not turning on,10,26,0.0,0.0,MOFU,commercial,SEASONAL,Jan/May/Jun,False,
samsung washer door not opening,10,71,340.52,804.89,MOFU,commercial,STABLE,Jul/Aug/Sep/Oct/Nov/Dec/Jan/Feb/Mar/Apr/May/Jun,False,
samsung washing machine door not opening,10,71,340.52,804.89,MOFU,commercial,STABLE,Jul/Aug/Sep/Oct/Nov/Dec/Jan/Feb/Mar/Apr/May/Jun,False,
washer door wont unlock,10,26,0.0,0.0,MOFU,commercial,SEASONAL,Aug/Sep/Nov/Jan/Mar/Apr/Jun,False,
washing machine door won t unlock,10,26,0.0,0.0,MOFU,commercial,SEASONAL,Aug/Sep/Nov/Jan/Mar/Apr/Jun,False,
beko washing machine not draining,10,28,0.0,0.0,MOFU,commercial,SEASONAL,Jul/Sep/Nov/Dec/Jan/Mar/Apr/Jun,False,
beko washer not draining,10,28,0.0,0.0,MOFU,commercial,SEASONAL,Jul/Sep/Nov/Dec/Jan/Mar/Apr/Jun,False,
no power on washing machine,10,29,0.0,0.0,MOFU,commercial,SEASONAL,Jul/Aug/Sep/Oct/Nov/Dec/Jan/Feb/Apr/May/Jun,False,
super general washing machine not spinning,10,74,470.2,1209.06,MOFU,commercial,STABLE,Jul/Aug/Sep/Oct/Nov/Dec/Jan/Feb/Mar/Apr/May/Jun,False,
samsung washing machine water not draining,10,87,317.25,2234.39,MOFU,commercial,GROWING,Aug/Oct/Nov/Dec/Jan/Feb/Mar/Apr/May/Jun,False,
samsung washer not draining water,10,87,317.25,2234.39,MOFU,commercial,GROWING,Aug/Oct/Nov/Dec/Jan/Feb/Mar/Apr/May/Jun,False,
washing machine sensor not working,10,47,0.0,0.0,MOFU,commercial,GROWING,Jul/Sep/Oct/Nov/Dec/Mar/Apr/May/Jun,False,
samsung front load washer not draining,10,0,0.0,0.0,MOFU,commercial,SEASONAL,Aug/Oct/Nov/Jan,False,
water won t drain from washer,10,0,0.0,0.0,MOFU,commercial,SEASONAL,Oct/Feb/Apr/May,False,
hoover washing machine not draining,10,0,0.0,0.0,MOFU,commercial,SEASONAL,Nov/Dec/Jan,False,
washer won t drain water,10,0,0.0,0.0,MOFU,commercial,SEASONAL,Oct/Feb/Apr/May,False,
washing machine won t drain water,10,0,0.0,0.0,MOFU,commercial,SEASONAL,Oct/Feb/Apr/May,False,
washer wont drain water,10,0,0.0,0.0,MOFU,commercial,SEASONAL,Oct/Feb/Apr/May,False,
samsung front load washing machine not draining,10,0,0.0,0.0,MOFU,commercial,SEASONAL,Aug/Oct/Nov/Jan,False,
ariston washing machine not draining,10,0,0.0,0.0,MOFU,commercial,SEASONAL,Oct/Jan/Feb,False,
automatic washing machine not draining,10,0,0.0,0.0,MOFU,commercial,SEASONAL,Aug/Dec/Jan,False,
automatic washing machine water drain problem,10,0,0.0,0.0,MOFU,commercial,SEASONAL,Jul/Dec/May,False,
beko washing machine not draining water,10,0,0.0,0.0,MOFU,commercial,SEASONAL,Oct/Nov/Jan/Feb/May,False,
bosch serie 6 washing machine not draining,10,0,0.0,0.0,MOFU,commercial,SEASONAL,Oct/Dec/Feb,False,
candy washing machine e03 no blockage,10,0,0.0,0.0,MOFU,commercial,SEASONAL,Sep/Mar/Apr,False,
check drainage samsung washing machine,10,0,0.0,0.0,MOFU,commercial,SEASONAL,Sep/Oct/Dec/Jan/Mar/Apr,False,
drain samsung washing machine,10,0,0.0,0.0,MOFU,commercial,SEASONAL,Jul/Sep/Oct/Nov/Dec/Jan/Mar/Apr/May,False,
hisense washing machine not draining water,10,0,0.0,0.0,MOFU,commercial,SEASONAL,Jul/Dec/Jan/Mar,False,
